Event ID,Event Name,Department Name,End Date,Status
56A0826,"Breakroom Kitchen, Conference Room, Bathrooms, and Hallway Remodel Services",Department of Transportation,"08/06/2024
2:00PM PDT",Posted
0000031967,IFB #24C651002 ¿CHP San Onofre Commercial Vehicle Enforcement Facility (CVEF) Northbound and Southbound ¿ Parking Lot Steam Cleaning Services¿,Dept of the CA Highway Patrol,"08/06/2024
2:00PM PDT",Posted
0000031962,23-203084.OS.EVSE - ATASCADERO STATE HOSPITAL.8401,Department of General Services,"08/06/2024
2:00PM PDT",Posted
06A3065,"Pest Control Services in Madera, Fresno, Tulare, Kern and Kings Counties",Department of Transportation,"08/06/2024
2:00PM PDT",Posted
01A6423,IFB Multi-Provider Title and Escrow Services in Del Norte County,Department of Transportation,"08/06/2024
2:00PM PDT",Posted
01A6420,Handyman Services in Lake and Mendocino County,Department of Transportation,"08/06/2024
2:00PM PDT",Posted
0000032059,"P2460003: Back-Up Diesel Motors Maintenance & Repair Services, Repost 1",Department of Fish & Wildlife,"08/06/2024
2:00PM PDT",Posted
08A3696,"IFB Demolition and Clearance, Asbestos/Lead Paint Abatement, and Development and Implementation of Storm Water Pollution Prevention Plans (SWPPP) or Water Pollution Control Programs ¿ San Bernardino and Riverside Counties",Department of Transportation,"08/06/2024
2:00PM PDT",Posted
0000032006,IFB 24C675001 CHP Peralta PS E & W - Steam Cleaning Services,Dept of the CA Highway Patrol,"08/06/2024
2:30PM PDT",Posted
24-108,"24-108 Rental, delivery/removal, set up, cleaning and evacuating services for one (1) Americans with Disabilities Act (ADA) compliant portable restroom and one (1) freestanding hand wash sink with two (2) basins, at the Yuba City Commercial Drive Test",Department of Motor Vehicles,"08/06/2024
2:30PM PDT",Posted
0000032072,24-64007: Fire Suppression and Domestic Water Line System Reroute Services,Department of State Hospitals,"08/06/2024
4:00PM PDT",Posted
7CA06594,IFB 7CA06594 - Air Compressor Services,CAL FIRE,"08/06/2024
5:00PM PDT",Posted
0000032064,IFB 2407-01 Bottled Water Services,Superior Court of Contra Costa,"08/06/2024
5:00PM PDT",Posted
2CA06796,2CA06796 - Snow Removal Services,CAL FIRE,"08/06/2024
5:00PM PDT",Posted
59A1299,"**Certified SB, including MB, SB-PW, or a DVBE Only** IFPQ 59A1299 HVAC Duct Cleaning Services, Sacramento County",Department of Transportation,"08/06/2024
5:00PM PDT",Posted
0000032063,IFB 2407-02 Moving and Installation Services,Superior Court of Contra Costa,"08/06/2024
5:00PM PDT",Posted
0000032166,"24WS0006 - COOLING TOWER OPEN LOOP, BOILER AND CHILLER HYDRONIC CLOSED LOOP TESTING, TREATMENT, MAINTENANCE AND REPAIR SERVICES",Dept of Veterans Affairs,"08/06/2024
5:00PM PDT",Posted
0000031997,RESD-PMDB 2024-01 San Luis Obispo Headquarters Replacement,Department of General Services,"08/06/2024
5:00PM PDT",Posted
24-128,24-128 ¿ Small Business Bid Solicitation (SB Bid) Landscape Cleanup and Maintenance Services,Department of Motor Vehicles,"08/06/2024
5:00PM PDT",Posted
0000031989,Request for Information (RFI) - Building Embodied Carbon Reporting Tool (BECRT),State Air Resources Board,"08/06/2024
5:00PM PDT",Posted
0000032175,WANTED TO LEASE BY THE STATE OF CALIFONRIA - Sacramento,Department of General Services,"08/06/2024
6:00PM PDT",Posted
0000032191,WANTED TO LEASE BY THE STATE OF CALIFORNIA - Sacramento,Department of General Services,"08/06/2024
6:00PM PDT",Posted
24-141,24-141 - SB Bid Effort - Parking lot sweep and steam cleaning Sacramento South DMV Field Office,Department of Motor Vehicles,"08/06/2024
11:59PM PDT",Posted
24-088,24-088 IFB Waste and recycle bin(s) rental and non-hazardous waste and recycle removal services,Department of Motor Vehicles,"08/06/2024
11:59PM PDT",Posted
32-12-6560,"IFB 32-12-6560 EMULSION TANK, STEEL, 45 GALLON",Department of Transportation,"08/07/2024
2:00AM PDT",Posted
PR249203A,Replace Air Handler Res. 10,Dept of Developmental Services,"08/07/2024
9:30AM PDT",Posted
24-135,Small Business Solicitation 24-135 Parking lot sweeping and pressure washing and/or steam cleaning services at the Santa Monica DMV,Department of Motor Vehicles,"08/07/2024
10:00AM PDT",Posted
0000032230,24-080 ReBid As-Needed Janitorial Services for Vallejo DMV Region 3,Department of Motor Vehicles,"08/07/2024
10:00AM PDT",Posted
53A0296,53A0296 - A&E Value Analysis Process Study Services,Department of Transportation,"08/07/2024
10:00AM PDT",Posted
0000032070,HSR24-12 Fire Systems Maintenance & Repair Services,High Speed Rail Authority,"08/07/2024
11:00AM PDT",Posted
0000031923,"Specification No. 24-08 (C51669), Physical Security Upgrades (South) - Phase I, Southern Field Division O&M Center, Pearblossom Pumping Plant, Oso Pumping Plant",Department of Water Resources,"08/07/2024
11:00AM PDT",Posted
0000031853,"Specification No. 22-09 (C51632) - Emergency Release Facility, Lake Perris",Department of Water Resources,"08/07/2024
11:00AM PDT",Posted
24-118,"24-118 ¿ One-time Landscape Clean-up, Bi-weekly Landscape Maintenance and Yearly Landscape Maintenance Services for the Santa Monica DMV Field Office",Department of Motor Vehicles,"08/07/2024
11:59AM PDT",Posted
24-109,24-109 ¿ Landscape Maintenance Services at the Reedley DMV Field Office.,Department of Motor Vehicles,"08/07/2024
11:59AM PDT",Posted
24-110,24-110 ¿ Parking Lot Sweeping and Steam Cleaning/Pressure Washing Services at the Reedley DMV Field Office.,Department of Motor Vehicles,"08/07/2024
11:59AM PDT",Posted
0000032127,24C480002 CHP VISALIA - TWICE WEEKLY LANDSCAPE,Dept of the CA Highway Patrol,"08/07/2024
2:00PM PDT",Posted
0000032123,Landscape Maintenance Services -CHP- 24C295000,Dept of the CA Highway Patrol,"08/07/2024
2:00PM PDT",Posted
0000032114,CHP San Jose Area Office HVAC Maintenance,Dept of the CA Highway Patrol,"08/07/2024
2:00PM PDT",Posted
0000032004,IFB #24C675003 CHP Santa Ana Area office - Roof Maintenance Services.,Dept of the CA Highway Patrol,"08/07/2024
2:00PM PDT",Posted
08-1G6304,"RHMA-G, replace AC surfacing, and cold plane AC Pvmt.",Department of Transportation,"08/07/2024
2:00PM PDT",Posted
04-3W5604X,Place polyester concrete overlay.,Department of Transportation,"08/07/2024
2:00PM PDT",Posted
07-356104,"Replace pump plant, drainage, & electrical control & service systems.",Department of Transportation,"08/07/2024
2:00PM PDT",Posted
10199547,On-Call Engineering Project Management Services,Department of Water Resources,"08/07/2024
2:00PM PDT",Posted
0000031966,IFB 24C620004 CHP Winterhaven Area Office - Lighting Installation Services,Dept of the CA Highway Patrol,"08/07/2024
2:30PM PDT",Posted
24-10050,**Notice of Intent to Award** Invitation For Bid (IFB) 24-10050 RSS Warehouse,Department of Public Health,"08/07/2024
3:00PM PDT",Posted
0000032069,"IFB No. 100370 ""As Needed"" Janitorial Services",Employment Development Dept,"08/07/2024
3:00PM PDT",Posted
2CA06861,IFB #2CA06861 CAL FIRE LMU Coveralls and Shop Supplies,CAL FIRE,"08/07/2024
5:00PM PDT",Posted
1CA06965,IFB #1CA06965 CAL FIRE LNU Coveralls and Shop Supplies,CAL FIRE,"08/07/2024
5:00PM PDT",Posted
0000032184,WANTED TO LEASE BY THE STATE OF CALIFORNIA Long Beach,Department of General Services,"08/07/2024
5:00PM PDT",Posted
P24-066,P24-0066 Corn Cob Grit,Dept of Food & Agriculture,"08/07/2024
5:00PM PDT",Posted
24-117,24-117 IFB Bid Opportunity: (SB Bid) entitled 24-117 ¿ Landscape Maintenance Services for the Hollywood DMV Field Office,Department of Motor Vehicles,"08/07/2024
11:59PM PDT",Posted
24-123,24-123 ¿ After-Hours Janitorial Services at the Reedley DMV Field Office,Department of Motor Vehicles,"08/07/2024
11:59PM PDT",Posted
24-150,24-150 Bid Opportunity - Uninterrupted Power Supply (UPS) and Power Conditioning and Distribution Systems Maintenance Services at DMV Headquarters Building East and the DMV Central Utility Plant (CUP),Department of Motor Vehicles,"08/07/2024
11:59PM PDT",Posted
24-143,24-143 Parking Lot Sweeping and Pressure Washing/Steam Cleaning Services for San Diego,Department of Motor Vehicles,"08/07/2024
11:59PM PDT",Posted
24-134,"24-134 ¿ One-time Landscape Clean-up, Bi-weekly Landscape Maintenance and Yearly Landscape Maintenance Services for the Santa Clara DMV Field Office",Department of Motor Vehicles,"08/07/2024
11:59PM PDT",Posted
0000032212,24-113 One-time Landscape Cleanup and Bi-weekly Landscape Maintenance/Yearly Maintenance Services for Arleta DMV Field Office.,Department of Motor Vehicles,"08/08/2024
10:00AM PDT",Posted
0000032125,UCLA Downtown Master Plan Study,UCLA,"08/08/2024
10:00AM PDT",Posted
0000032215,24-114 One-time Landscape Cleanup and Bi-weekly Landscape Maintenance/Yearly Maintenance Services for Newhall DMV.,Department of Motor Vehicles,"08/08/2024
11:00AM PDT",Posted
0000032024,Refuse Disposal,32nd DAA -Costa Mesa,"08/08/2024
11:00AM PDT",Posted
S24DWC005,"S24DWC005 ""Independent Medical Review""",Dept of Industrial Relations,"08/08/2024
1:30PM PDT",Posted
07A5957,IFB Positive Location of Underground Utility Facilities in Los Angeles and Ventura County,Department of Transportation,"08/08/2024
2:00PM PDT",Posted
10A2688,"IFB, Positive Location of Underground Utilities (Potholing) Service in Alpine, Amador, Calaveras, San Joaquin, Stanislaus, Mariposa, Merced, and Tuolumne Counties.",Department of Transportation,"08/08/2024
2:00PM PDT",Posted
11A4018,Locksmith Services in San Diego County,Department of Transportation,"08/08/2024
2:00PM PDT",Posted
0000032208,CHP South Lake Tahoe Area office ¿ Protective Clothing & Operational Supplies Rental Services,Dept of the CA Highway Patrol,"08/08/2024
2:00PM PDT",Posted
06A3105,IFB Positive Location of Underground Utilities (Potholing) Service in Kings County,Department of Transportation,"08/08/2024
2:00PM PDT",Posted
06A3104,IFB Positive Location of Underground Utilities (Potholing) Service in Tulare County,Department of Transportation,"08/08/2024
2:00PM PDT",Posted
0000032065,23-205952.RESD.CDFARoofing.10739,Department of General Services,"08/08/2024
2:00PM PDT",Posted
0000032066,23-205776.RESD.DrainageRepair.Project9003,Department of General Services,"08/08/2024
2:00PM PDT",Posted
06-0W9104,"HMA, RHMA-G, jointed plain Conc Pvmt (RSC) and STBB (Type M).",Department of Transportation,"08/08/2024
2:00PM PDT",Posted
04-0P9704,"Replace bridge rails, sidewalk, and maintenance vehicle pullout.",Department of Transportation,"08/08/2024
2:00PM PDT",Posted
0000032158,Request for Contractor Prequalification (Affordable Student Housing),"CSU, Fresno","08/08/2024
2:00PM PDT",Posted
0000032165,"P2460009: REBID, Wells & Pumps Maintenance & Repair, Mojave River Hatchery, San Bernardino County, California",Department of Fish & Wildlife,"08/08/2024
2:00PM PDT",Posted
0000031953,"P2499017 Statewide Engineering, Material Testing, and Inspection Services",Department of Fish & Wildlife,"08/08/2024
2:00PM PDT",Posted
01A6431,IFB Janitorial and Grounds/Landscape Maintenance Services in Del Norte County.,Department of Transportation,"08/08/2024
2:00PM PDT",Posted
11A4019,SB Minor B-INSTALL LUMINAIRE FOR MINE-A-LISA MURAL,Department of Transportation,"08/08/2024
2:15PM PDT",Posted
0000032192,"P2460006 Rebid, HVAC Maintenance - Fillmore Hatchery, Ventura County, California",Department of Fish & Wildlife,"08/08/2024
2:30PM PDT",Posted
24-168,24-168  Small Business (SB) Bid Solicitation - Parking lot sweeping and pressure washing and/or steam cleaning services at the Oakland Coliseum DMV Field Office,Department of Motor Vehicles,"08/08/2024
2:30PM PDT",Posted
0000032135,Bi-Monthly Interior/Exterior Pest Control Services - IFB No. 102495,Employment Development Dept,"08/08/2024
3:00PM PDT",Posted
0000032204,WANTED TO LEASE BY THE STATE OF CALIFORNIA - Bakersfield,Department of General Services,"08/08/2024
4:00PM PDT",Posted
P24-0058,P24-0058 METHYL EUGENOL & CUELURE,Dept of Food & Agriculture,"08/08/2024
5:00PM PDT",Posted
P24-0014,P24-0014 Fuel,Dept of Food & Agriculture,"08/08/2024
5:00PM PDT",Posted
4CA06854,IFB 4CA06854 - Dormitory Renovations,CAL FIRE,"08/08/2024
5:00PM PDT",Posted
1CA06981,IFB #1CA06981 CAL FIRE,CAL FIRE,"08/08/2024
5:00PM PDT",Posted
1CA06815,IFB #1CA06815 CAL FIRE Waste Oil Removal,CAL FIRE,"08/08/2024
5:00PM PDT",Posted
0000032180,GO-Biz CA Energy Assessment Services RFP,Business & Economic Developmnt,"08/08/2024
5:00PM PDT",Posted
0000031987,Arab Health Consultant,Business & Economic Developmnt,"08/09/2024
8:00AM PDT",Posted
0000031964,NASPO ValuePoint Child Safety Seats (State of New Jersey RFP# 24DPP00938),DGS - Statewide Procurement,"08/09/2024
11:00AM PDT",Posted
0000032231,"HSR24-25-Congressional and Administration Liaison and Strategic Advisory Services in Washington, D.C.",High Speed Rail Authority,"08/09/2024
11:00AM PDT",Posted
0000032174,Certified Welding for Fuel Oil Piping Project,Department of State Hospitals,"08/09/2024
11:00AM PDT",Posted
0000032220,Fire Alarm System Monitoring - CHQC,Military Department,"08/09/2024
1:00PM PDT",Posted
0000032157,24C455003 CHP Mariposa - Gutter Replacement,Dept of the CA Highway Patrol,"08/09/2024
2:00PM PDT",Posted
0000032240,(7) 360 Transportation Cameras,Dept of Corrections & Rehab,"08/09/2024
2:00PM PDT",Posted
0000032145,CHP Golden Gate Division Office - Liebert System Cooling Unit Maintenance,Dept of the CA Highway Patrol,"08/09/2024
2:00PM PDT",Posted
10A2692,"SB Minor B 10A2692 - Replace components in water storage tank, start-up existing electrical systems - Merced County",Department of Transportation,"08/09/2024
2:15PM PDT",Posted
0000032109,24C450000 CHP Madera - Roof Maintenance,Dept of the CA Highway Patrol,"08/09/2024
2:30PM PDT",Posted
0000032144,CHP Cordelia CVEF HVAC Maintenance,Dept of the CA Highway Patrol,"08/09/2024
2:30PM PDT",Posted
0000032112,24C401000 CHP Central Division Office - Roof Maintenance,Dept of the CA Highway Patrol,"08/09/2024
2:30PM PDT",Posted
0000032302,Notice of Intent to Award: RFP-II 10200645,Department of Water Resources,"08/09/2024
3:00PM PDT",Posted
0000032221,"IFB No. 105183 Quarterly Preventative Pressure Sealing Equipment Maintenance and ""As Needed"" Repair Services",Employment Development Dept,"08/09/2024
3:00PM PDT",Posted
0000032042,CHP 24C760004 IFB Dry Wall Repair and Interior Painting Services-Rebid 1,Dept of the CA Highway Patrol,"08/09/2024
3:00PM PDT",Posted
1CA06917,"IFB #1CA06917 CAL FIRE Advanced Cleaning, Inspection, and Repair of Structural Firefighting Protective Ensemble (SFPE)Structural Firefighting Protective Ensemble",CAL FIRE,"08/09/2024
5:00PM PDT",Posted
2CA06994,IFB #1CA06965 CAL FIRE Valley View Fire Center Water Treatment System Replacement,CAL FIRE,"08/09/2024
5:00PM PDT",Posted
24-160,24-160 Parking Lot Sweeping and Pressure Washing and/or Steam Cleaning Services for the Napa DMV Field Office,Department of Motor Vehicles,"08/09/2024
11:59PM PDT",Posted
0000032238,C5612188-D - Small Engine Equipment Maintenance and Repair Services,Dept of Corrections & Rehab,"08/12/2024
11:00AM PDT",Posted
0000032085,"C5612146-D - MCQUAY AND YORK CHILLERS MAINTENANCE, REPAIR, AND INSPECTION SERVICES",Dept of Corrections & Rehab,"08/12/2024
11:00AM PDT",Posted
0000031934,IFB #C5612213-D STEAM BOILER SYSTEM RENTAL SERVICES ¿ CALIFORNIA MEDICAL FACILITY,Dept of Corrections & Rehab,"08/12/2024
11:00AM PDT",Posted
0000032210,IFB # 10202001 Motion Graphic Services,Department of Water Resources,"08/12/2024
1:00PM PDT",Posted
0000031832,FPCM-CAL-I001055-M040-RS,Dept of Corrections & Rehab,"08/12/2024
2:00PM PDT",Posted
0000032005,IFB 24C675005 CHP Peralta PS EB and WB - Scale Maintenance,Dept of the CA Highway Patrol,"08/12/2024
2:00PM PDT",Posted
0000032234,NR24-004 Seed Mix,Department of Fish & Wildlife,"08/12/2024
2:00PM PDT",Posted
01A6439,SB Minor B - Install State entry monument,Department of Transportation,"08/12/2024
2:15PM PDT",Posted
0000032197,24C370003 Stucco Repair Services,Dept of the CA Highway Patrol,"08/12/2024
2:30PM PDT",Posted
03A3815,"*Certified SB/MB/SB-PW or DVBE Only* IFPQ Demolition and Clearance Service in El Dorado, CA",Department of Transportation,"08/12/2024
3:00PM PDT",Posted
0000032236,RFQ2024-05 Adobe Acrobat Pro & Adobe Creative Cloud (1 Year),Superior Court of Kern County,"08/12/2024
3:00PM PDT",Posted
0000032243,IFB 24-41018-000 Temporary/Relief Optometry Services,Department of State Hospitals,"08/12/2024
4:00PM PDT",Posted
07A5904,"*SB/DVBE ONLY* HVAC, Swamp Cooler, and Ice Maker Maintenance and Repair Services in Los Angeles County",Department of Transportation,"08/12/2024
5:00PM PDT",Posted
0000032262,WANTED TO LEASE BY THE STATE OF CALIFORNIA - Fresno,Department of General Services,"08/12/2024
6:00PM PDT",Posted
0000032055,23-205948.RESD.RecirculationProject.11551,Department of General Services,"08/13/2024
2:00AM PDT",Posted
0000032056,C5612005-D Rebid 1 Blade Sharpening Services,Dept of Corrections & Rehab,"08/13/2024
11:00AM PDT",Posted
0000032248,"C24830001 - Tidebooks research, design and printing",Dept of Parks & Recreation,"08/13/2024
12:00PM PDT",Posted
0000032222,IFB # 10202350 - Audio/Visual equipment rental and personnel services,Department of Water Resources,"08/13/2024
12:00PM PDT",Posted
0000032214,Trailer Hauling Services,Office of Emergency Services,"08/13/2024
1:00PM PDT",Posted
0000032247,RFP 24-01 Voluntary Benefit Plans,Superior Court of San Bernardi,"08/13/2024
1:15PM PDT",Posted
56A0820,Janitorial Services in Sacramento County,Department of Transportation,"08/13/2024
2:00PM PDT",Posted
74A1544,I-580 Truck Access Study,Department of Transportation,"08/13/2024
2:00PM PDT",Posted
0000032002,IFB #24C686003 CHP Rainbow CVEF NB and Platform Scales SB - Generator Maintenance Services,Dept of the CA Highway Patrol,"08/13/2024
2:00PM PDT",Posted
03-4H8704,"Rdwy Exc, place HMA-A and CRCP, install signal and lighting.",Department of Transportation,"08/13/2024
2:00PM PDT",Posted
0000032181,24-41011-000 IFB Fire Apparatus Maintenance and Repair Services,Department of State Hospitals,"08/13/2024
2:00PM PDT",Posted
03-0886-04,"03-0886-04 Avenal State Prison Warehouse, Coalinga, Ca",Department of Rehabilitation,"08/13/2024
2:00PM PDT",Posted
09A1016,IFB Wildfire Fuel Reduction Services WFR,Department of Transportation,"08/13/2024
2:00PM PDT",Posted
07A5936,Elevator Maintenance and Repair Services in Los Angeles County,Department of Transportation,"08/13/2024
2:00PM PDT",Posted
07A5908,"IFB Application of Pre-Emergent and Contact Herbicides, Los Angeles, Kern, and Ventura Counties",Department of Transportation,"08/13/2024
2:00PM PDT",Posted
0000032147,"CONTRACT:24-206315; METROPOLITAN STATE HOSPITAL BOILER REPLACEMENT; DEPARTMENT OF STATE HOSPITALS; METRO STATE HOSPITAL; NORWALK, LOS ANGELES COUNTY, CALIFORNIA; PROJECT:8172",Department of General Services,"08/13/2024
2:00PM PDT",Posted
0000031772,23-189492.FMD.Elevator Repair & Maintenance,Department of General Services,"08/13/2024
2:00PM PDT",Posted
0000032256,23-177754.OSP.Uniform Services,Department of General Services,"08/13/2024
2:00PM PDT",Posted
0000032152,23-162998.OSP.Jackson vs Rank Printing and Mailing Services,Department of General Services,"08/13/2024
2:00PM PDT",Posted
03A3777,"IFB Storm Water Pump Repair in Placer, Sacramento, Sutter, and Yolo Counties",Department of Transportation,"08/13/2024
2:00PM PDT",Posted
05-1P1804,"Shoulders widening, roadway excavation, HMA-A, and rumble strips.",Department of Transportation,"08/13/2024
2:00PM PDT",Posted
0000032008,IFB 24C645002 CHP San Diego Area Office - Gate Maintenance Services,Dept of the CA Highway Patrol,"08/13/2024
2:30PM PDT",Posted
23-700-02,RFP 23-700-02 Defined Contribution Consulting Svcs,Department of Human Resources,"08/13/2024
3:00PM PDT",Posted
0000032088,RW2425008 Task Lighting,Prison Industry Authority,"08/13/2024
3:00PM PDT",Posted
0000032153,IFB 24-72002-000 Firestop Installation Services Add 2,Department of State Hospitals,"08/13/2024
3:00PM PDT",Posted
0000032150,IFB 24-72001-000 Firestop Installation Services Add 1,Department of State Hospitals,"08/13/2024
3:00PM PDT",Posted
0000032161,24-72003-000 IFB Firestop Installation Services Add 2,Department of State Hospitals,"08/13/2024
3:00PM PDT",Posted
2024-9347,Supplemental Income Plans Third-Party Administrator,Public Employees' Retirement,"08/13/2024
3:00PM PDT",Posted
0000032177,24YS0023-Portable Water Sampling Station Install,Dept of Veterans Affairs,"08/13/2024
5:00PM PDT",Posted
0000032129,24SS0001- Tree Maintenance and Removal Services,Dept of Veterans Affairs,"08/13/2024
5:00PM PDT",Posted
0000032261,WANTED TO LEASE BY THE STATE OF CALIFORNIA - Sacramento,Department of General Services,"08/13/2024
6:00PM PDT",Posted
0000032255,WANTED TO LEASE BY THE STATE OF CALIFORNIA - Sacramento,Department of General Services,"08/13/2024
6:00PM PDT",Posted
24-157,"Small Business Solicitation 24-157 Print and Deliver 50,000 First Class Manila Booklet Envelopes (ADM 516)",Department of Motor Vehicles,"08/14/2024
10:00AM PDT",Posted
0000032061,"Bid Number C5611803-D, Rebid 3 Asphalt Paving and Striping Services",Dept of Corrections & Rehab,"08/14/2024
11:00AM PDT",Posted
0000031662,CHP Santa Fe Springs Area office - Vehicle Hoist Maintenance Services,Dept of the CA Highway Patrol,"08/14/2024
11:00AM PDT",Posted
0000032260,"CHP 24C875004 , ¿Mountain Pass JPOE ¿ Weapons Firing Range Services'.",Dept of the CA Highway Patrol,"08/14/2024
11:00AM PDT",Posted
0000032084,HSR23-15 Rolling Owner-Controlled Insurance Program (ROCIP) Services,High Speed Rail Authority,"08/14/2024
11:00AM PDT",Posted
0000032187,Bindery Maintenance Services RFP# LSS-2024-01-AC,Judicial Branch,"08/14/2024
1:00PM PDT",Posted
0000032097,CHP Altadena Area office - Semi-annual Vehicle Hoist Maintenance Services,Dept of the CA Highway Patrol,"08/14/2024
1:00PM PDT",Posted
0000032098,CHP Baldwin Park Area office - Semi-annual Vehicle Hoist Maintenance Services,Dept of the CA Highway Patrol,"08/14/2024
1:30PM PDT",Posted
0000032099,Chiller & Boiler Maintenance & Repair Services - CHQC,Military Department,"08/14/2024
2:00PM PDT",Posted
0000032007,IFB 24C686002 CHP Rainbow CVEF - Parking Lot Sweeping Services,Dept of the CA Highway Patrol,"08/14/2024
2:00PM PDT",Posted
12-0S1104,Replace concrete barrier and modify lighting system.,Department of Transportation,"08/14/2024
2:00PM PDT",Posted
08A3750,"**Certified SB, including MB, SB-PW, or a DVBE Only** Generator Maintenance and Repair in San Bernardino County",Department of Transportation,"08/14/2024
2:00PM PDT",Posted
07-349904,"Construct MVPs, MGS, rock blankets,and pave beyond the gore.",Department of Transportation,"08/14/2024
2:00PM PDT",Posted
0000032110,Deconstruct Reconstruct Sheds Services CHP 24C285001,Dept of the CA Highway Patrol,"08/14/2024
2:00PM PDT",Posted
0000032080,Elevator Maintenance and Repair Services - CHQC,Military Department,"08/14/2024
2:00PM PDT",Posted
C24-32742,"C24-32742 Real Time Captioning - Central Office, Sacramento",Department of Rehabilitation,"08/14/2024
2:00PM PDT",Posted
32771,IFB 24-32771 In-Person American Sign Language Interpreting Services - Redwood Empire District,Department of Rehabilitation,"08/14/2024
2:00PM PDT",Posted
0000032244,24-64015-000 Veterinary Services,Department of State Hospitals,"08/14/2024
2:00PM PDT",Posted
0000032106,"P2460008: Wells & Pumps Maintenance & Repair, Repost 2",Department of Fish & Wildlife,"08/14/2024
2:00PM PDT",Posted
3CA06867,BDU HQ Paving and Utility Replacement,CAL FIRE,"08/14/2024
2:00PM PDT",Posted
0000032154,"Statewide Audiovisual Systems, Solutions, and Maintenance Services, RFP#: RFP-TCAS-2024-01-MS",Judicial Branch,"08/14/2024
3:00PM PDT",Posted
0625*008,Leetron Video System,Department of Transportation,"08/14/2024
3:00PM PDT",Posted
3225*002,SolidWorks License Renewal,Department of Transportation,"08/14/2024
3:00PM PDT",Posted
0000032194,RFQ-24-701 Delegate Chief Building Official Services Geothermal Site Specific,Energy Resources Conservation,"08/14/2024
11:59PM PDT",Posted
24-161,24-161 Parking Lot Sweeping and Pressure Washing and/or Steam Cleaning Services for the Placerville DMV Field Office,Department of Motor Vehicles,"08/14/2024
11:59PM PDT",Posted
24-154,"24-154 ¿ Scheduled Preventative Maintenance and As-Needed Unscheduled Repair Services for Various Forklifts, Pallet Jacks, and Other Miscellaneous Equipment at Various DMV Locations",Department of Motor Vehicles,"08/14/2024
11:59PM PDT",Posted
0000031709,"Secondary RFP CSSSA24101, Host Site",State Summer School for Arts,"08/15/2024
1:30PM PDT",Posted
01A6446,"Trash Collection, Hauling, and Disposal Services",Department of Transportation,"08/15/2024
2:00PM PDT",Posted
C24-32663,INVITATION FOR BID #C24-32663 Consumer Owned Mobile Food Truck Fabrication,Department of Rehabilitation,"08/15/2024
2:00PM PDT",Posted
0000032237,C24651002 Invasive Species Treatment at Manchester State Park,Dept of Parks & Recreation,"08/15/2024
2:00PM PDT",Posted
